,y_name,orf_name
0,YAL001C,TFC3
1,YAL002W,VPS8
2,YAL003W,EFB1
3,YAL004W,YAL004W
4,YAL005C,SSA1
5,YAL007C,ERP2
6,YAL008W,FUN14
7,YAL009W,SPO7
8,YAL010C,MDM10
9,YAL011W,SWC3
10,YAL012W,CYS3
11,YAL013W,DEP1
12,YAL014C,SYN8
13,YAL015C,NTG1
14,YAL016C-A,YAL016C-A
15,YAL016C-B,YAL016C-B
16,YAL016W,TPD3
17,YAL017W,PSK1
18,YAL018C,LDS1
19,YAL019W,FUN30
20,YAL019W-A,YAL019W-A
21,YAL020C,ATS1
22,YAL021C,CCR4
23,YAL022C,FUN26
24,YAL023C,PMT2
25,YAL024C,LTE1
26,YAL025C,MAK16
27,YAL026C,DRS2
28,YAL026C-A,YAL026C-A
29,YAL027W,SAW1
30,YAL028W,FRT2
31,YAL029C,MYO4
32,YAL030W,SNC1
33,YAL031C,GIP4
34,YAL031W-A,YAL031W-A
35,YAL032C,PRP45
36,YAL033W,POP5
37,YAL034C,FUN19
38,YAL034C-B,YAL034C-B
39,YAL034W-A,MTW1
40,YAL035W,FUN12
41,YAL036C,RBG1
42,YAL037C-A,YAL037C-A
43,YAL037C-B,YAL037C-B
44,YAL037W,YAL037W
45,YAL038W,CDC19
46,YAL039C,CYC3
47,YAL040C,CLN3
48,YAL041W,CDC24
49,YAL042C-A,YAL042C-A
50,YAL042W,ERV46
51,YAL043C,PTA1
52,YAL044C,GCV3
53,YAL044W-A,YAL044W-A
54,YAL045C,YAL045C
55,YAL046C,AIM1
56,YAL047C,SPC72
57,YAL047W-A,YAL047W-A
58,YAL048C,GEM1
59,YAL049C,AIM2
60,YAL051W,OAF1
61,YAL053W,FLC2
62,YAL054C,ACS1
63,YAL055W,PEX22
64,YAL056C-A,YAL056C-A
65,YAL056W,GPB2
66,YAL058W,CNE1
67,YAL059C-A,YAL059C-A
68,YAL059W,ECM1
69,YAL060W,BDH1
70,YAL061W,BDH2
71,YAL062W,GDH3
72,YAL063C,FLO9
73,YAL063C-A,YAL063C-A
74,YAL064C-A,TDA8
75,YAL064W,YAL064W
76,YAL064W-B,YAL064W-B
77,YAL065C,YAL065C
78,YAL066W,YAL066W
79,YAL067C,SEO1
80,YAL067W-A,YAL067W-A
81,YAL068C,PAU8
82,YAL068W-A,YAL068W-A
83,YAL069W,YAL069W
84,YAR002C-A,ERP1
85,YAR002W,NUP60
86,YAR003W,SWD1
87,YAR007C,RFA1
88,YAR008W,SEN34
89,YAR009C,YAR009C
90,YAR010C,YAR010C
91,YAR014C,BUD14
92,YAR015W,ADE1
93,YAR018C,KIN3
94,YAR019C,CDC15
95,YAR019W-A,YAR019W-A
96,YAR020C,PAU7
97,YAR023C,YAR023C
98,YAR027W,UIP3
99,YAR028W,YAR028W
100,YAR029W,YAR029W
101,YAR030C,YAR030C
102,YAR031W,PRM9
103,YAR033W,MST28
104,YAR035C-A,YAR035C-A
105,YAR035W,YAT1
106,YAR042W,SWH1
107,YAR047C,YAR047C
108,YAR050W,FLO1
109,YAR053W,YAR053W
110,YAR060C,YAR060C
111,YAR061W,YAR061W
112,YAR064W,YAR064W
113,YAR066W,YAR066W
114,YAR068W,YAR068W
115,YAR069C,YAR069C
116,YAR070C,YAR070C
117,YAR071W,PHO11
118,YAR073W,IMD1
119,YAR075W,YAR075W
120,YBL001C,ECM15
121,YBL002W,HTB2
122,YBL003C,HTA2
123,YBL004W,UTP20
124,YBL005W,PDR3
125,YBL005W-A,YBL005W-A
126,YBL005W-B,YBL005W-B
127,YBL006C,LDB7
128,YBL006W-A,YBL006W-A
129,YBL007C,SLA1
130,YBL008W,HIR1
131,YBL008W-A,YBL008W-A
132,YBL009W,ALK2
133,YBL010C,YBL010C
134,YBL011W,SCT1
135,YBL012C,YBL012C
136,YBL013W,FMT1
137,YBL014C,RRN6
138,YBL015W,ACH1
139,YBL016W,FUS3
140,YBL017C,PEP1
141,YBL018C,POP8
142,YBL019W,APN2
143,YBL020W,RFT1
144,YBL021C,HAP3
145,YBL022C,PIM1
146,YBL023C,MCM2
147,YBL024W,NCL1
148,YBL025W,RRN10
149,YBL026W,LSM2
150,YBL027W,RPL19B
151,YBL028C,YBL028C
152,YBL029C-A,YBL029C-A
153,YBL029W,YBL029W
154,YBL030C,PET9
155,YBL031W,SHE1
156,YBL032W,HEK2
157,YBL033C,RIB1
158,YBL034C,STU1
159,YBL035C,POL12
160,YBL036C,YBL036C
161,YBL037W,APL3
162,YBL038W,MRPL16
163,YBL039C,URA7
164,YBL039C-A,YBL039C-A
165,YBL039W-B,YBL039W-B
166,YBL040C,ERD2
167,YBL041W,PRE7
168,YBL042C,FUI1
169,YBL043W,ECM13
170,YBL044W,YBL044W
171,YBL045C,COR1
172,YBL046W,PSY4
173,YBL047C,EDE1
174,YBL048W,RRT1
175,YBL049W,MOH1
176,YBL050W,SEC17
177,YBL051C,PIN4
178,YBL052C,SAS3
179,YBL053W,YBL053W
180,YBL054W,TOD6
181,YBL055C,YBL055C
182,YBL056W,PTC3
183,YBL057C,PTH2
184,YBL058W,SHP1
185,YBL059C-A,CMC2
186,YBL059W,YBL059W
187,YBL060W,YEL1
188,YBL061C,SKT5
189,YBL062W,YBL062W
